"{""id"":""498165789"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":""2025-11-01T06:19:57.412Z"",""__IMTINDEX__"":1,""__IMTLENGTH__"":746}",498165789,,,,,2025-11-01T06:19:57.412Z,1,746
"{""id"":""791559324"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":2,""__IMTLENGTH__"":746}",791559324,,,,,,2,746
"{""id"":""1062521255"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":3,""__IMTLENGTH__"":746}",1062521255,,,,,,3,746
"{""id"":""508965243"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":4,""__IMTLENGTH__"":746}",508965243,,,,,,4,746
"{""id"":""158375786"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":5,""__IMTLENGTH__"":746}",158375786,,,,,,5,746
"{""id"":""6485315240"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":6,""__IMTLENGTH__"":746}",6485315240,,,,,,6,746
"{""id"":""6875433594"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":7,""__IMTLENGTH__"":746}",6875433594,,,,,,7,746
"{""id"":""527244236"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":8,""__IMTLENGTH__"":746}",527244236,,,,,,8,746
"{""id"":""218203458"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":9,""__IMTLENGTH__"":746}",218203458,,,,,,9,746
"{""id"":""6697534744"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":10,""__IMTLENGTH__"":746}",6697534744,,,,,,10,746
"{""id"":""530055516"",""language_code"":null,""first_name"":null,""last_name"":null,""phone_number"":null,""last_activity_at"":null,""__IMTINDEX__"":11,""__IMTLENGTH__"":746}",530055516,,,,,,11,746
"{""id"":""620459414"",""language_code"":null,""first_name"":""Aviad Bashari"",""last_name"":null,""phone_number"":""972543456099"",""last_activity_at"":null,""__IMTINDEX__"":12,""__IMTLENGTH__"":746}",620459414,,Aviad Bashari,,972543456099,,12,746
